dataset,model,method,accuracy,log_loss,brier_score,ece,tilt,seed
breast_cancer,LogisticRegression,Uncalibrated,0.9649122807017544,0.0861405639380711,0.02392097099409241,0.022013831124809626,0.018843735302346436,42
breast_cancer,LogisticRegression,Platt,0.9736842105263158,0.0885403759612467,0.02255678791379269,0.038136829369196004,0.02384765981663202,42
breast_cancer,LogisticRegression,Isotonic,0.9736842105263158,0.6196404706800349,0.0230184604085953,0.024473709119319356,-0.048910830746307615,42
breast_cancer,RandomForest,Uncalibrated,0.9824561403508771,0.11768655386285298,0.029569395711500978,0.06719298245614035,0.14825900900900896,42
breast_cancer,RandomForest,Platt,0.9824561403508771,0.09473115839100846,0.019323822483822087,0.046806240847524855,0.09303661094941779,42
breast_cancer,RandomForest,Isotonic,0.9736842105263158,0.3606081883268452,0.027503196019812392,0.04408306524685763,0.022110749797804082,42
diabetes,LogisticRegression,Uncalibrated,0.7402597402597403,0.5178857631951685,0.17425192442925666,0.079679985011918,-0.09367618128127693,42
diabetes,LogisticRegression,Platt,0.7467532467532467,0.5241479621456664,0.17495860436666352,0.052837590883355726,-0.05761464150022015,42
diabetes,LogisticRegression,Isotonic,0.6753246753246753,1.5687539687278294,0.18962809429472835,0.1271943774111277,-0.18788388864197197,42
diabetes,RandomForest,Uncalibrated,0.7207792207792207,0.5154737625699766,0.17502525252525253,0.0645887445887446,-0.08541352438411265,42
diabetes,RandomForest,Platt,0.7207792207792207,0.5226371327337356,0.1761224212828493,0.06490198126797178,-0.06495228111495668,42
diabetes,RandomForest,Isotonic,0.7337662337662337,0.5140879499089406,0.1736588258784119,0.046400088378781,-0.09321974231932051,42
breast_cancer,LogisticRegression,Uncalibrated,0.9824561403508771,0.07079297269599513,0.018778110084863207,0.02988380433613241,0.03657630060582807,43
breast_cancer,LogisticRegression,Platt,0.9824561403508771,0.07614988908420374,0.015326460667431189,0.0233129617672401,0.042340718870992125,43
