dataset,model,method,n_seeds,accuracy_mean,accuracy_std,log_loss_mean,log_loss_std,brier_score_mean,brier_score_std,ece_mean,ece_std
breast_cancer,LogisticRegression,Isotonic,10,0.9701754385964912,0.013206537766825987,0.3501780672742032,0.24071468643669527,0.022737606965627495,0.009746452040438173,0.029531575636611747,0.011016531511681043
breast_cancer,LogisticRegression,Platt,10,0.9780701754385965,0.011877249129584752,0.08640133197151507,0.026975270739528212,0.019047094766736564,0.008534673924626276,0.02906332198530191,0.010905170912893402
breast_cancer,LogisticRegression,Uncalibrated,10,0.9754385964912281,0.010783092932506295,0.08459148750396878,0.028765711496362555,0.021372341433022586,0.007451500388327743,0.031935530472981144,0.007067338003465964
breast_cancer,RandomForest,Isotonic,10,0.9526315789473685,0.023826372850834342,0.4094261176763697,0.36480905306374256,0.03466322268432866,0.01640328065380341,0.04299203889989191,0.014357878122873766
breast_cancer,RandomForest,Platt,10,0.9543859649122807,0.022949025579355072,0.12345111174285832,0.04543454715230837,0.03228029886573709,0.015571738130911377,0.047634234266878336,0.013106934555011497
breast_cancer,RandomForest,Uncalibrated,10,0.9543859649122807,0.025423467975770952,0.15632942721546278,0.1111161591217313,0.035151832358674466,0.011576419467461416,0.054502923976608164,0.0064982488418462445
diabetes,LogisticRegression,Isotonic,10,0.7519480519480519,0.03392127796391295,0.8030734692988558,0.343840111070749,0.16607003340452575,0.01661846476052686,0.09637823309369373,0.019362999440827058
diabetes,LogisticRegression,Platt,10,0.762987012987013,0.03214121732666128,0.4930478059371259,0.03505275125965599,0.16253124056243767,0.014750433198597396,0.08052034136235954,0.02098278309303189
diabetes,LogisticRegression,Uncalibrated,10,0.7610389610389611,0.03606349021585895,0.4868279333353162,0.03809615052374346,0.1603340444808036,0.01474563913972771,0.08501813428458774,0.011144591504242114
diabetes,RandomForest,Isotonic,10,0.762987012987013,0.03384522894180064,0.8183893452381147,0.2417015465908056,0.1652184181152395,0.014942627569180364,0.08878150461125538,0.026027989603767322
diabetes,RandomForest,Platt,10,0.7636363636363637,0.03492838572111571,0.489648616432601,0.03347759298949632,0.16148990233766072,0.014435641937818221,0.08501902286628713,0.02027576413226176
diabetes,RandomForest,Uncalibrated,10,0.7681818181818182,0.03077096960170728,0.48101656726119585,0.034156822382142696,0.15928870851370852,0.01384183185672589,0.07240909090909091,0.018855181568441893
