dataset,model,method,accuracy,log_loss,brier_score,ece,delta_log_loss_vs_uncal,delta_brier_vs_uncal,delta_ece_vs_uncal
breast_cancer,LogisticRegression,Uncalibrated,0.9649122807017544,0.0861405639380711,0.02392097099409241,0.022013831124809626,0.0,0.0,0.0
breast_cancer,LogisticRegression,Platt,0.9736842105263158,0.0885403759612467,0.02255678791379269,0.038136829369196004,0.0023998120231756015,-0.0013641830802997197,0.01612299824438638
breast_cancer,LogisticRegression,Isotonic,0.9736842105263158,0.6196404706800349,0.0230184604085953,0.024473709119319356,0.5334999067419638,-0.0009025105854971079,0.0024598779945097307
breast_cancer,RandomForest,Uncalibrated,0.9824561403508771,0.11768655386285298,0.029569395711500978,0.06719298245614035,0.0,0.0,0.0
breast_cancer,RandomForest,Platt,0.9824561403508771,0.09473115839100846,0.019323822483822087,0.046806240847524855,-0.022955395471844525,-0.01024557322767889,-0.02038674160861549
breast_cancer,RandomForest,Isotonic,0.9736842105263158,0.3606081883268452,0.027503196019812392,0.04408306524685763,0.24292163446399223,-0.002066199691688586,-0.023109917209282717
diabetes,LogisticRegression,Uncalibrated,0.7402597402597403,0.5178857631951685,0.17425192442925666,0.079679985011918,0.0,0.0,0.0
diabetes,LogisticRegression,Platt,0.7467532467532467,0.5241479621456664,0.17495860436666352,0.052837590883355726,0.006262198950497844,0.0007066799374068622,-0.026842394128562277
diabetes,LogisticRegression,Isotonic,0.6753246753246753,1.5687539687278294,0.18962809429472835,0.1271943774111277,1.0508682055326608,0.01537616986547169,0.04751439239920971
diabetes,RandomForest,Uncalibrated,0.7207792207792207,0.5154737625699766,0.17502525252525253,0.0645887445887446,0.0,0.0,0.0
diabetes,RandomForest,Platt,0.7207792207792207,0.5226371327337356,0.1761224212828493,0.06490198126797178,0.007163370163759009,0.0010971687575967726,0.0003132366792271829
diabetes,RandomForest,Isotonic,0.7337662337662337,0.5140879499089406,0.1736588258784119,0.046400088378781,-0.00138581266103599,-0.0013664266468406405,-0.0181886562099636
